,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
0,Watford,Middlesbrough,1-0,https://www.besoccer.com/match/watford-fc/middlesbrough-fc/202175607,2021,1,championship,/match/watford-fc/middlesbrough-fc/2021,"Friday, 11 September 2020, 20:45", Stroud K.,1,0,0,0,Home Win
1,Birmingham City,Brentford,1-0,https://www.besoccer.com/match/birmingham-city-fc/brentford/202175599,2021,1,championship,/match/birmingham-city-fc/brentford/2021,"Saturday, 12 September 2020, 13:30", Harrington T.,4,0,1,0,Home Win
2,Wycombe Wanderers,Rotherham United,0-1,https://www.besoccer.com/match/wycombe-wanderers/rotherham-united/202175608,2021,1,championship,/match/wycombe-wanderers/rotherham-united/2021,"Saturday, 12 September 2020, 13:30", Linington J.,1,0,1,0,Away Win
3,AFC Bournemouth,Blackburn Rovers,3-2,https://www.besoccer.com/match/afc-bournemouth/blackburn-rovers-fc/202175597,2021,1,championship,/match/afc-bournemouth/blackburn-rovers-fc/2021,"Saturday, 12 September 2020, 16:00", Ward G.,2,0,0,0,Home Win
4,Barnsley,Luton Town,0-1,https://www.besoccer.com/match/barnsley-fc/luton-town-fc/202175598,2021,1,championship,/match/barnsley-fc/luton-town-fc/2021,"Saturday, 12 September 2020, 16:00", Gillett J.,1,0,3,0,Away Win
5,Bristol City,Coventry City,2-1,https://www.besoccer.com/match/bristol-city-fc/coventry-city/202175600,2021,1,championship,/match/bristol-city-fc/coventry-city/2021,"Saturday, 12 September 2020, 16:00", Brooks J.,2,0,1,0,Home Win
6,Cardiff City,Sheffield Wednesday,0-2,https://www.besoccer.com/match/cardiff-city-fc/sheffield-wednesday-fc/202175601,2021,1,championship,/match/cardiff-city-fc/sheffield-wednesday-fc/2021,"Saturday, 12 September 2020, 16:00", Madley A.,0,0,1,0,Away Win
7,Derby County,Reading,0-2,https://www.besoccer.com/match/derby-county-fc/reading-fc/202175602,2021,1,championship,/match/derby-county-fc/reading-fc/2021,"Saturday, 12 September 2020, 16:00", Bond D.,3,0,2,0,Away Win
8,Huddersfield Town,Norwich City,0-1,https://www.besoccer.com/match/huddersfield-town-fc/norwich-city-fc/202175603,2021,1,championship,/match/huddersfield-town-fc/norwich-city-fc/2021,"Saturday, 12 September 2020, 16:00", Eltringham G.,1,0,3,0,Away Win
9,Millwall,Stoke City,0-0,https://www.besoccer.com/match/millwall-fc/stoke-city/202175604,2021,1,championship,/match/millwall-fc/stoke-city/2021,"Saturday, 12 September 2020, 16:00", Simpson J.,1,0,1,0,Draw
