Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
FC Carl Zeiss Jena,Zwickau,2-0,https://www.besoccer.com/match/fc-carl-zeiss-jena/zwickau/199612384,1996,1,2_liga,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,41.0,56.0
Chemnitzer,1. FC Lokomotive Leipzig,1-2,https://www.besoccer.com/match/chemnitzer/lokomotive-leipzig/199612385,1996,1,2_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,56.0,60.0
Arminia Bielefeld,VfB Lübeck,2-1,https://www.besoccer.com/match/arminia-bielefeld/lubeck/199612386,1996,1,2_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,40.0,40.0
MSV Duisburg,VfL Bochum,0-0,https://www.besoccer.com/match/msv-duisburg/bochum/199612387,1996,1,2_liga,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,64.0,65.0
Unterhaching,Meppen,1-1,https://www.besoccer.com/match/unterhaching/meppen/199612388,1996,1,2_liga,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,55.0
Waldhof Mannheim,Fortuna Köln,2-0,https://www.besoccer.com/match/waldhof-mannheim/fortuna-koln/199612389,1996,1,2_liga,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,61.0,55.0
Wattenscheid 09,Nürnberg,1-2,https://www.besoccer.com/match/wattenscheid-09/fc-nurnberg/199612390,1996,1,2_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,63.0,66.0
Wolfsburg,Hertha BSC,1-4,https://www.besoccer.com/match/wolfsburg/hertha-bsc/199612391,1996,1,2_liga,18,34,2,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,56.0
Mainz 05,Hannover 96,2-2,https://www.besoccer.com/match/mainz-amat/hannover-96/199612392,1996,1,2_liga,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,51.0,59.0
Meppen,FC Carl Zeiss Jena,1-1,https://www.besoccer.com/match/meppen/fc-carl-zeiss-jena/199612393,1996,2,2_liga,18,34,1,1,1,12,1,0,1,0,1,1,1.0,0,0,0,0,0,4,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,55.0,41.0
VfB Lübeck,Mainz 05,3-0,https://www.besoccer.com/match/lubeck/mainz-amat/199612394,1996,2,2_liga,18,34,0,3,0,13,0,0,0,1,1,2,0.0,0,0,0,0,0,9,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,39.0,51.0
Hertha BSC,Unterhaching,1-0,https://www.besoccer.com/match/hertha-bsc/unterhaching/199612395,1996,2,2_liga,18,34,0,1,0,1,3,1,0,0,4,1,3.0,0,0,0,0,0,11,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,56.0,55.0
Hannover 96,MSV Duisburg,2-2,https://www.besoccer.com/match/hannover-96/msv-duisburg/199612396,1996,2,2_liga,18,34,1,2,2,7,1,0,1,0,2,2,1.0,0,0,0,0,0,8,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,59.0,64.0
Zwickau,Chemnitzer,1-0,https://www.besoccer.com/match/zwickau/chemnitzer/199612397,1996,2,2_liga,18,34,0,1,0,17,0,0,0,1,0,2,0.0,0,0,0,0,0,16,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,56.0,56.0
1. FC Lokomotive Leipzig,Arminia Bielefeld,0-0,https://www.besoccer.com/match/lokomotive-leipzig/arminia-bielefeld/199612398,1996,2,2_liga,18,34,1,0,0,6,3,1,0,0,2,1,3.0,0,0,0,0,0,5,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,60.0,40.0
Nürnberg,Wolfsburg,0-0,https://www.besoccer.com/match/fc-nurnberg/wolfsburg/199612399,1996,2,2_liga,18,34,1,0,0,2,3,1,0,0,2,1,3.0,0,0,0,0,0,18,0,0,0,1,1,4,0.0,0,0,0,0,0,0.0,0.0,66.0,53.0
VfL Bochum,Waldhof Mannheim,3-1,https://www.besoccer.com/match/bochum/waldhof-mannheim/199612400,1996,2,2_liga,18,34,0,3,1,10,1,0,1,0,0,0,1.0,0,0,0,0,0,3,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,65.0,62.0
