Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Bayern München,Hamburger SV,2-2,https://www.besoccer.com/match/bayern-munchen/hamburger-sv/20098990,2009,1,bundesliga,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,93.0,84.0
B. Leverkusen,B. Dortmund,2-3,https://www.besoccer.com/match/bayer-leverkusen/borussia-dortmund/20098991,2009,1,bundesliga,18,34,2,2,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,84.0,80.0
Energie Cottbus,Hoffenheim,0-3,https://www.besoccer.com/match/energie-cottbus/tsg-1899-hoffenheim/20098992,2009,1,bundesliga,18,34,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,55.0
Wolfsburg,Köln,2-1,https://www.besoccer.com/match/wolfsburg/1-fc-koln/20098993,2009,1,bundesliga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,78.0,73.0
Karlsruher SC,VfL Bochum,1-0,https://www.besoccer.com/match/karlsruher-sc/bochum/20098994,2009,1,bundesliga,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,68.0,76.0
Schalke 04,Hannover 96,3-0,https://www.besoccer.com/match/schalke-04/hannover-96/20098995,2009,1,bundesliga,18,34,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,87.0,76.0
Arminia Bielefeld,Werder Bremen,2-2,https://www.besoccer.com/match/arminia-bielefeld/werder-bremen/20098996,2009,1,bundesliga,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,73.0,88.0
B. Mönchengladbach,Stuttgart,1-3,https://www.besoccer.com/match/borussia-monchengla/stuttgart/20098997,2009,1,bundesliga,18,34,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,73.0,83.0
Eintracht Frankfurt,Hertha BSC,0-2,https://www.besoccer.com/match/eintracht-frankfurt/hertha-bsc/20098998,2009,1,bundesliga,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,76.0,79.0
Hannover 96,Energie Cottbus,0-0,https://www.besoccer.com/match/hannover-96/energie-cottbus/20099007,2009,2,bundesliga,18,34,1,0,0,12,0,0,0,1,0,3,0.0,0,0,0,0,0,13,0,0,0,1,0,3,0.0,0,0,0,0,0,0.0,0.0,76.0,71.0
Hamburger SV,Karlsruher SC,2-1,https://www.besoccer.com/match/hamburger-sv/karlsruher-sc/20099000,2009,2,bundesliga,18,34,0,2,1,10,1,0,1,0,2,2,1.0,0,0,0,0,0,4,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,84.0,69.0
Stuttgart,B. Leverkusen,0-2,https://www.besoccer.com/match/stuttgart/bayer-leverkusen/20099001,2009,2,bundesliga,18,34,2,0,2,7,3,1,0,0,3,1,3.0,0,0,0,0,0,18,0,0,0,1,2,3,0.0,0,0,0,0,0,0.0,0.0,83.0,83.0
Hertha BSC,Arminia Bielefeld,1-1,https://www.besoccer.com/match/hertha-bsc/arminia-bielefeld/20099002,2009,2,bundesliga,18,34,1,1,1,6,3,1,0,0,2,0,3.0,0,0,0,0,0,8,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,79.0,73.0
Werder Bremen,Schalke 04,1-1,https://www.besoccer.com/match/werder-bremen/schalke-04/20099003,2009,2,bundesliga,18,34,1,1,1,11,1,0,1,0,2,2,1.0,0,0,0,0,0,2,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,88.0,87.0
B. Dortmund,Bayern München,1-1,https://www.besoccer.com/match/borussia-dortmund/bayern-munchen/20099005,2009,2,bundesliga,18,34,1,1,1,3,3,1,0,0,3,2,3.0,0,0,0,0,0,9,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,80.0,93.0
Hoffenheim,B. Mönchengladbach,1-0,https://www.besoccer.com/match/tsg-1899-hoffenheim/borussia-monchengla/20099006,2009,2,bundesliga,18,34,0,1,0,5,3,1,0,0,3,0,3.0,0,0,0,0,0,17,0,0,0,1,1,3,0.0,0,0,0,0,0,0.0,0.0,56.0,73.0
Köln,Eintracht Frankfurt,1-1,https://www.besoccer.com/match/1-fc-koln/eintracht-frankfurt/20098999,2009,2,bundesliga,18,34,1,1,1,15,0,0,0,1,1,2,0.0,0,0,0,0,0,16,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,73.0,76.0
VfL Bochum,Wolfsburg,2-2,https://www.besoccer.com/match/bochum/wolfsburg/20099004,2009,2,bundesliga,18,34,1,2,2,14,0,0,0,1,0,1,0.0,0,0,0,0,0,1,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,75.0,78.0
