Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
PEC Zwolle,Utrecht,2-0,https://www.besoccer.com/match/fc-zwolle/fc-utrecht/20151380,2015,1,eredivisie,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,75.0
Heerenveen,Dordrecht,1-2,https://www.besoccer.com/match/heerenveen/fc-dordrecht/20151381,2015,1,eredivisie,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,79.0,63.0
Cambuur,Twente 1965,1-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-twente-1965/20151382,2015,1,eredivisie,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,66.0,85.0
NAC Breda,Excelsior,1-1,https://www.besoccer.com/match/nac-breda/excelsior/20151383,2015,1,eredivisie,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,62.0,61.0
Heracles,AZ Alkmaar,0-3,https://www.besoccer.com/match/heracles/az/20151384,2015,1,eredivisie,18,34,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,81.0
ADO Den Haag,Feyenoord,0-1,https://www.besoccer.com/match/ado-den-haag/feyenoord/20151385,2015,1,eredivisie,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,69.0,82.0
Go Ahead Eagles,Groningen,2-3,https://www.besoccer.com/match/go-ahead-eagles/fc-groningen/20151386,2015,1,eredivisie,18,34,2,2,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,57.0,75.0
Ajax,Vitesse,4-1,https://www.besoccer.com/match/ajax/vitesse/20151387,2015,1,eredivisie,18,34,0,4,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,90.0,76.0
Willem II,PSV,1-3,https://www.besoccer.com/match/willem-ii/psv/20151388,2015,1,eredivisie,18,34,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,62.0,87.0
Feyenoord,Heerenveen,1-1,https://www.besoccer.com/match/feyenoord/heerenveen/20151390,2015,2,eredivisie,18,34,1,1,1,7,3,1,0,0,1,0,3.0,0,0,0,0,0,18,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,82.0,78.0
PSV,NAC Breda,6-1,https://www.besoccer.com/match/psv/nac-breda/20151391,2015,2,eredivisie,18,34,0,6,1,2,3,1,0,0,3,1,3.0,0,0,0,0,0,10,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,87.0,62.0
Dordrecht,PEC Zwolle,1-2,https://www.besoccer.com/match/fc-dordrecht/fc-zwolle/20151392,2015,2,eredivisie,18,34,2,1,2,4,3,1,0,0,2,1,3.0,0,0,0,0,0,1,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,63.0,73.0
Twente 1965,ADO Den Haag,2-2,https://www.besoccer.com/match/fc-twente-1965/ado-den-haag/20151393,2015,2,eredivisie,18,34,1,2,2,9,1,0,1,0,1,1,1.0,0,0,0,0,0,12,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,85.0,69.0
Vitesse,Cambuur,2-2,https://www.besoccer.com/match/vitesse/sc-cambuur-leeuwarden/20151394,2015,2,eredivisie,18,34,1,2,2,14,0,0,0,1,1,4,0.0,0,0,0,0,0,8,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,76.0,66.0
AZ Alkmaar,Ajax,1-3,https://www.besoccer.com/match/az/ajax/20151395,2015,2,eredivisie,18,34,2,1,3,5,3,1,0,0,3,0,3.0,0,0,0,0,0,6,3,1,0,0,4,1,3.0,0,0,0,0,0,0.0,0.0,82.0,90.0
