Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Girondins Bordeaux,Bastia,3-2,https://www.besoccer.com/match/bordeaux/bastia/200018002,2000,1,ligue_1,18,34,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,84.0,75.0
Monaco,Saint-Étienne,2-2,https://www.besoccer.com/match/monaco/saint-etienne/200018010,2000,1,ligue_1,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,87.0,62.0
Metz,Stade Rennais,0-0,https://www.besoccer.com/match/metz/stade-rennes/200018003,2000,1,ligue_1,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,80.0,75.0
PSG,Troyes,1-0,https://www.besoccer.com/match/paris-saint-germain-fc/troyes/200018004,2000,1,ligue_1,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,83.0,60.0
Nantes,Le Havre,1-0,https://www.besoccer.com/match/nantes/havre-ac/200018005,2000,1,ligue_1,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,81.0,73.0
Olympique Marseille,Sedan,3-0,https://www.besoccer.com/match/olympique-marsella/sedan/200018006,2000,1,ligue_1,18,34,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,82.0,56.0
Auxerre,Nancy,2-1,https://www.besoccer.com/match/auxerre/nancy/200018007,2000,1,ligue_1,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,81.0,69.0
Olympique Lyonnais,Montpellier,1-2,https://www.besoccer.com/match/olympique-lyonnais/montpellier-hsc/200018008,2000,1,ligue_1,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,82.0,79.0
Strasbourg,Lens,1-0,https://www.besoccer.com/match/strasbourg/lens/200018009,2000,1,ligue_1,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,76.0,81.0
Troyes,Olympique Lyonnais,1-2,https://www.besoccer.com/match/troyes/olympique-lyonnais/200018013,2000,2,ligue_1,18,34,2,1,2,17,0,0,0,1,0,1,0.0,0,0,0,0,0,13,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,60.0,82.0
Le Havre,Olympique Marseille,0-0,https://www.besoccer.com/match/havre-ac/olympique-marsella/200018015,2000,2,ligue_1,18,34,1,0,0,12,0,0,0,1,0,1,0.0,0,0,0,0,0,6,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,73.0,82.0
Lens,Monaco,1-0,https://www.besoccer.com/match/lens/monaco/200018011,2000,2,ligue_1,18,34,0,1,0,15,0,0,0,1,0,1,0.0,0,0,0,0,0,8,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,80.0,87.0
Bastia,Strasbourg,3-0,https://www.besoccer.com/match/bastia/strasbourg/200018012,2000,2,ligue_1,18,34,0,3,0,16,0,0,0,1,2,3,0.0,0,0,0,0,0,1,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,75.0,76.0
