Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
União de Leiria,Marítimo,0-4,https://www.besoccer.com/match/uniao-leiria/maritimo/199611233,1996,1,primeira_liga,18,34,2,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,71.0,71.0
Porto,Sporting CP,2-1,https://www.besoccer.com/match/fc-porto/sporting-lisbon/199611234,1996,1,primeira_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,90.0,83.0
Leça FC,Gil Vicente,0-2,https://www.besoccer.com/match/leca/gil-vicente/199611235,1996,1,primeira_liga,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,67.0
FC Felgueiras,Chaves,2-2,https://www.besoccer.com/match/fc-felgueiras/chaves/199611236,1996,1,primeira_liga,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,66.0
Farense,Tirsense,2-1,https://www.besoccer.com/match/farense/tirsense/199611237,1996,1,primeira_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,71.0,69.0
Campomaiorense,Vitória Guimarães,0-1,https://www.besoccer.com/match/campomaiorense/vitoria-guimaraes/199611238,1996,1,primeira_liga,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,73.0
Sporting Braga,Estrela Amadora,2-1,https://www.besoccer.com/match/sporting-braga/estrela-amadora/199611239,1996,1,primeira_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,68.0,69.0
Boavista,Belenenses,1-0,https://www.besoccer.com/match/boavista/belenenses/199611240,1996,1,primeira_liga,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,74.0,69.0
Benfica,SC Salgueiros,0-0,https://www.besoccer.com/match/benfica/salgueiros/199611241,1996,1,primeira_liga,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,87.0,67.0
Vitória Guimarães,Farense,1-0,https://www.besoccer.com/match/vitoria-guimaraes/farense/199611242,1996,2,primeira_liga,18,34,0,1,0,3,3,1,0,0,1,0,3.0,0,0,0,0,0,1,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,73.0,71.0
Tirsense,Benfica,0-1,https://www.besoccer.com/match/tirsense/benfica/199611243,1996,2,primeira_liga,18,34,2,0,1,15,0,0,0,1,1,2,0.0,0,0,0,0,0,11,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,69.0,87.0
Sporting CP,Boavista,0-0,https://www.besoccer.com/match/sporting-lisbon/boavista/199611244,1996,2,primeira_liga,18,34,1,0,0,18,0,0,0,1,1,2,0.0,0,0,0,0,0,4,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,84.0,74.0
SC Salgueiros,União de Leiria,4-0,https://www.besoccer.com/match/salgueiros/uniao-leiria/199611245,1996,2,primeira_liga,18,34,0,4,0,10,1,0,1,0,0,0,1.0,0,0,0,0,0,16,0,0,0,1,0,4,0.0,0,0,0,0,0,0.0,0.0,67.0,71.0
Marítimo,FC Felgueiras,0-2,https://www.besoccer.com/match/maritimo/fc-felgueiras/199611246,1996,2,primeira_liga,18,34,2,0,2,5,3,1,0,0,4,0,3.0,0,0,0,0,0,9,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,72.0,72.0
Gil Vicente,Porto,0-1,https://www.besoccer.com/match/gil-vicente/fc-porto/199611247,1996,2,primeira_liga,18,34,2,0,1,7,3,1,0,0,2,0,3.0,0,0,0,0,0,2,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,68.0,90.0
