Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Barcelona,Real Madrid,2-1,https://www.besoccer.com/match/barcelona/real-madrid/19931529,1993,1,primera_division,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,94.0,95.0
Valencia,Rayo Vallecano,1-0,https://www.besoccer.com/match/valencia-cf/rayo-vallecano/19931530,1993,1,primera_division,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,86.0,66.0
Albacete,Sevilla,3-4,https://www.besoccer.com/match/albacete/sevilla/19931531,1993,1,primera_division,20,38,2,3,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,70.0,81.0
Athletic,Cádiz,2-1,https://www.besoccer.com/match/athletic-bilbao/cadiz/19931532,1993,1,primera_division,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,81.0,76.0
Atlético,Tenerife,3-2,https://www.besoccer.com/match/atletico-madrid/tenerife/19931533,1993,1,primera_division,20,38,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,91.0,75.0
Deportivo,Celta,2-0,https://www.besoccer.com/match/deportivo/celta/19931534,1993,1,primera_division,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,73.0
Real Sporting,Osasuna,0-0,https://www.besoccer.com/match/sporting-gijon/osasuna/19931535,1993,1,primera_division,20,38,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,83.0,81.0
CD Logroñés,Real Oviedo,1-0,https://www.besoccer.com/match/logrones-cd/real-oviedo/19931536,1993,1,primera_division,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,78.0,78.0
Real Burgos CF,R. Sociedad,4-0,https://www.besoccer.com/match/real-burgos-cf/real-sociedad/19931537,1993,1,primera_division,20,38,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,85.0
Real Zaragoza,Espanyol,2-1,https://www.besoccer.com/match/real-zaragoza/espanyol/19931538,1993,1,primera_division,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,83.0,78.0
