Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Estoril,Portimonense,4-1,https://www.besoccer.com/match/estoril/portimonense/200698774,2006,1,segunda_liga,18,34,0,4,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
SP. Covilhã,Moreirense,2-1,https://www.besoccer.com/match/sporting-covilha/moreirense-fc/200698775,2006,1,segunda_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Vizela,Ovarense,3-0,https://www.besoccer.com/match/vizela/ovarense/200698776,2006,1,segunda_liga,18,34,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Feirense,Olhanense,1-2,https://www.besoccer.com/match/feirense/sc-olhanense/200698777,2006,1,segunda_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
CD Santa Clara,Beira Mar SC,0-0,https://www.besoccer.com/match/santa-clara/beira-mar/200698778,2006,1,segunda_liga,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Leixões,Desportivo Aves,2-1,https://www.besoccer.com/match/leixoes/desportivo-aves/200698779,2006,1,segunda_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
FC Maia,Varzim,1-2,https://www.besoccer.com/match/fc-maia/varzim/200698780,2006,1,segunda_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
FC Marco,Chaves,1-2,https://www.besoccer.com/match/fc-marco/chaves/200698781,2006,1,segunda_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Gondomar,FC Barreirense,1-0,https://www.besoccer.com/match/gondomar/fc-barreirense/200698782,2006,1,segunda_liga,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Estoril,Portimonense,4-1,https://www.besoccer.com/match/estoril/portimonense/200698774,2006,2,segunda_liga,18,34,0,4,1,7,3,1,0,0,4,1,3.0,1,0,0,4,1,17,0,0,0,1,1,4,0.0,0,0,1,1,4,3.0,0.0,,
SP. Covilhã,Moreirense,2-1,https://www.besoccer.com/match/sporting-covilha/moreirense-fc/200698775,2006,2,segunda_liga,18,34,0,2,1,8,3,1,0,0,2,1,3.0,1,0,0,2,1,12,0,0,0,1,1,2,0.0,0,0,1,1,2,3.0,0.0,,
Vizela,Ovarense,3-0,https://www.besoccer.com/match/vizela/ovarense/200698776,2006,2,segunda_liga,18,34,0,3,0,6,3,1,0,0,3,0,3.0,1,0,0,3,0,13,0,0,0,1,0,3,0.0,0,0,1,0,3,3.0,0.0,,
Feirense,Olhanense,1-2,https://www.besoccer.com/match/feirense/sc-olhanense/200698777,2006,2,segunda_liga,18,34,2,1,2,18,0,0,0,1,1,2,0.0,0,0,1,1,2,5,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,,
CD Santa Clara,Beira Mar SC,0-0,https://www.besoccer.com/match/santa-clara/beira-mar/200698778,2006,2,segunda_liga,18,34,1,0,0,9,1,0,1,0,0,0,1.0,0,1,0,0,0,10,1,0,1,0,0,0,1.0,0,1,0,0,0,1.0,1.0,,
Leixões,Desportivo Aves,2-1,https://www.besoccer.com/match/leixoes/desportivo-aves/200698779,2006,2,segunda_liga,18,34,0,2,1,1,3,1,0,0,2,1,3.0,1,0,0,2,1,11,0,0,0,1,1,2,0.0,0,0,1,1,2,3.0,0.0,,
FC Maia,Varzim,1-2,https://www.besoccer.com/match/fc-maia/varzim/200698780,2006,2,segunda_liga,18,34,2,1,2,16,0,0,0,1,1,2,0.0,0,0,1,1,2,3,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,,
FC Marco,Chaves,1-2,https://www.besoccer.com/match/fc-marco/chaves/200698781,2006,2,segunda_liga,18,34,2,1,2,14,0,0,0,1,1,2,0.0,0,0,1,1,2,4,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,,
Gondomar,FC Barreirense,1-0,https://www.besoccer.com/match/gondomar/fc-barreirense/200698782,2006,2,segunda_liga,18,34,0,1,0,2,3,1,0,0,1,0,3.0,1,0,0,1,0,15,0,0,0,1,0,1,0.0,0,0,1,0,1,3.0,0.0,,
Estoril,Portimonense,4-1,https://www.besoccer.com/match/estoril/portimonense/200698774,2006,3,segunda_liga,18,34,0,4,1,7,6,2,0,0,8,2,5.4,2,0,0,8,2,17,0,0,0,2,2,8,0.0,0,0,2,2,8,5.4,0.0,,
SP. Covilhã,Moreirense,2-1,https://www.besoccer.com/match/sporting-covilha/moreirense-fc/200698775,2006,3,segunda_liga,18,34,0,2,1,8,6,2,0,0,4,2,5.4,2,0,0,4,2,12,0,0,0,2,2,4,0.0,0,0,2,2,4,5.4,0.0,,
