Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Lazio,Torino,2-2,https://www.besoccer.com/match/lazio/torino-fc/20089285,2008,1,serie_a,20,38,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,87.0,72.0
Juventus,Livorno,5-1,https://www.besoccer.com/match/juventus-fc/livorno/20089284,2008,1,serie_a,20,38,0,5,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,75.0,70.0
Fiorentina,Empoli,3-1,https://www.besoccer.com/match/fiorentina/empoli-fc/20089286,2008,1,serie_a,20,38,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,84.0,75.0
Genoa,Milan,0-3,https://www.besoccer.com/match/genoa/milan/20089287,2008,1,serie_a,20,38,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,61.0,94.0
Inter,Udinese,1-1,https://www.besoccer.com/match/internazionale/udinese/20089288,2008,1,serie_a,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,94.0,81.0
Napoli,Cagliari,0-2,https://www.besoccer.com/match/napoli/cagliari/20089289,2008,1,serie_a,20,38,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,62.0,74.0
Parma,Catania,2-2,https://www.besoccer.com/match/parma-fc/catania/20089291,2008,1,serie_a,20,38,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,81.0,62.0
Reggina,Atalanta,1-1,https://www.besoccer.com/match/reggina/atalanta/20089292,2008,1,serie_a,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,76.0,71.0
Siena,Sampdoria,1-2,https://www.besoccer.com/match/siena/sampdoria/20089293,2008,1,serie_a,20,38,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,71.0,80.0
Palermo FC,Roma,0-2,https://www.besoccer.com/match/palermo/roma/20089290,2008,1,serie_a,20,38,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,78.0,92.0
Empoli,Inter,0-2,https://www.besoccer.com/match/empoli-fc/internazionale/20089294,2008,2,serie_a,20,38,2,0,2,16,0,0,0,1,1,3,0.0,0,0,0,0,0,10,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,75.0,94.0
Roma,Siena,3-0,https://www.besoccer.com/match/roma/siena/20089295,2008,2,serie_a,20,38,0,3,0,4,3,1,0,0,2,0,3.0,0,0,0,0,0,20,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,92.0,70.0
Atalanta,Parma,2-0,https://www.besoccer.com/match/atalanta/parma-fc/20089296,2008,2,serie_a,20,38,0,2,0,8,1,0,1,0,1,1,1.0,0,0,0,0,0,9,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,71.0,81.0
Cagliari,Juventus,2-3,https://www.besoccer.com/match/cagliari/juventus-fc/20089297,2008,2,serie_a,20,38,2,2,3,5,3,1,0,0,2,0,3.0,0,0,0,0,0,1,3,1,0,0,5,1,3.0,0,0,0,0,0,0.0,0.0,74.0,76.0
Catania,Genoa,0-0,https://www.besoccer.com/match/catania/genoa/20089298,2008,2,serie_a,20,38,1,0,0,11,1,0,1,0,2,2,1.0,0,0,0,0,0,18,0,0,0,1,0,3,0.0,0,0,0,0,0,0.0,0.0,63.0,61.0
Livorno,Palermo FC,2-4,https://www.besoccer.com/match/livorno/palermo/20089299,2008,2,serie_a,20,38,2,2,4,19,0,0,0,1,1,5,0.0,0,0,0,0,0,17,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,70.0,77.0
Torino,Reggina,2-2,https://www.besoccer.com/match/torino-fc/reggina/20089301,2008,2,serie_a,20,38,1,2,2,7,1,0,1,0,2,2,1.0,0,0,0,0,0,12,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,72.0,76.0
Udinese,Napoli,0-5,https://www.besoccer.com/match/udinese/napoli/20089302,2008,2,serie_a,20,38,2,0,5,14,1,0,1,0,1,1,1.0,0,0,0,0,0,15,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,82.0,62.0
