Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
AlbinoLeffe,Spezia,3-2,https://www.besoccer.com/match/uc-albinoleffe/asd-spezia/200820403,2008,1,serie_b,22,42,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,50.0,44.0
Cesena,Chievo,1-1,https://www.besoccer.com/match/ac-cesena/chievo/200820404,2008,1,serie_b,22,42,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,67.0
Triestina ,Messina,1-1,https://www.besoccer.com/match/us-triestina-calcio/messina/200820405,2008,1,serie_b,22,42,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,62.0
Brescia,Vicenza ,2-0,https://www.besoccer.com/match/brescia/vicenza-calcio/200820406,2008,1,serie_b,22,42,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,58.0
Treviso,Avellino,1-0,https://www.besoccer.com/match/treviso/us-avellino/200820407,2008,1,serie_b,22,42,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,48.0
Bologna,Rimini,0-0,https://www.besoccer.com/match/bologna/rimini-calcio/200820408,2008,1,serie_b,22,42,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,56.0
Mantova,Ravenna FC,1-1,https://www.besoccer.com/match/ac-mantova/ravenna-calcio/200820409,2008,1,serie_b,22,42,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,52.0
SSC Bari,Pisa,1-2,https://www.besoccer.com/match/as-bari/pisa-calcio/200820410,2008,1,serie_b,22,42,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,59.0,44.0
Modena,Grosseto,3-0,https://www.besoccer.com/match/modena-fc/us-grosseto/200820411,2008,1,serie_b,22,42,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,59.0,44.0
Ascoli,Piacenza,4-1,https://www.besoccer.com/match/ascoli/piacenza/200820412,2008,1,serie_b,22,42,0,4,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,59.0,63.0
Frosinone,Lecce,1-2,https://www.besoccer.com/match/frosinone-calcio/lecce/200820413,2008,1,serie_b,22,42,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,44.0,61.0
Grosseto,Brescia,0-1,https://www.besoccer.com/match/us-grosseto/brescia/200820402,2008,2,serie_b,22,42,2,0,1,21,0,0,0,1,0,3,0.0,0,0,0,0,0,6,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,44.0,60.0
Avellino,Mantova,0-1,https://www.besoccer.com/match/us-avellino/ac-mantova/200820393,2008,2,serie_b,22,42,2,0,1,20,0,0,0,1,0,1,0.0,0,0,0,0,0,10,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,48.0,55.0
Piacenza,Modena,1-2,https://www.besoccer.com/match/piacenza/modena-fc/200820394,2008,2,serie_b,22,42,2,1,2,19,0,0,0,1,1,4,0.0,0,0,0,0,0,4,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,62.0,59.0
Vicenza ,AlbinoLeffe,1-1,https://www.besoccer.com/match/vicenza-calcio/uc-albinoleffe/200820395,2008,2,serie_b,22,42,1,1,1,18,0,0,0,1,0,2,0.0,0,0,0,0,0,5,3,1,0,0,3,2,3.0,0,0,0,0,0,0.0,0.0,58.0,50.0
Messina,Cesena,1-0,https://www.besoccer.com/match/messina/ac-cesena/200820396,2008,2,serie_b,22,42,0,1,0,12,1,0,1,0,1,1,1.0,0,0,0,0,0,13,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,62.0,53.0
Lecce,Treviso,1-0,https://www.besoccer.com/match/lecce/treviso/200820397,2008,2,serie_b,22,42,0,1,0,7,3,1,0,0,2,1,3.0,0,0,0,0,0,2,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,61.0,53.0
Rimini,SSC Bari,2-1,https://www.besoccer.com/match/rimini-calcio/as-bari/200820398,2008,2,serie_b,22,42,0,2,1,9,1,0,1,0,0,0,1.0,0,0,0,0,0,17,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,56.0,58.0
Ravenna FC,Ascoli,2-1,https://www.besoccer.com/match/ravenna-calcio/ascoli/200820399,2008,2,serie_b,22,42,0,2,1,11,1,0,1,0,1,1,1.0,0,0,0,0,0,3,3,1,0,0,4,1,3.0,0,0,0,0,0,0.0,0.0,52.0,60.0
Chievo,Triestina ,3-0,https://www.besoccer.com/match/chievo/us-triestina-calcio/200820400,2008,2,serie_b,22,42,0,3,0,14,1,0,1,0,1,1,1.0,0,0,0,0,0,15,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,67.0,54.0
Pisa,Frosinone,0-1,https://www.besoccer.com/match/pisa-calcio/frosinone-calcio/200820401,2008,2,serie_b,22,42,2,0,1,1,3,1,0,0,2,1,3.0,0,0,0,0,0,22,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,44.0,44.0
Spezia,Bologna,0-2,https://www.besoccer.com/match/asd-spezia/bologna/200820392,2008,2,serie_b,22,42,2,0,2,16,0,0,0,1,2,3,0.0,0,0,0,0,0,8,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,44.0,60.0
Cesena,Pisa,1-2,https://www.besoccer.com/match/ac-cesena/pisa-calcio/200820382,2008,3,serie_b,22,42,2,1,2,15,1,0,1,1,1,2,0.8,0,1,0,1,1,12,3,1,0,1,2,2,2.4000000000000004,1,0,0,2,1,1.0,3.0,53.0,44.0
Triestina ,Lecce,1-1,https://www.besoccer.com/match/us-triestina-calcio/lecce/200820383,2008,3,serie_b,22,42,1,1,1,16,1,0,1,1,1,4,0.8,0,1,0,1,1,3,6,2,0,0,3,1,5.4,1,0,0,2,1,1.0,3.0,54.0,61.0
Treviso,Chievo,0-1,https://www.besoccer.com/match/treviso/chievo/200820384,2008,3,serie_b,22,42,2,0,1,11,3,1,0,1,1,1,2.4000000000000004,1,0,0,1,0,5,4,1,1,0,4,1,3.8,0,1,0,1,1,3.0,1.0,52.0,67.0
Bologna,Ravenna FC,2-1,https://www.besoccer.com/match/bologna/ravenna-calcio/200820385,2008,3,serie_b,22,42,0,2,1,7,4,1,1,0,2,0,3.8,0,1,0,0,0,10,4,1,1,0,3,2,3.8,0,1,0,1,1,1.0,1.0,60.0,52.0
Modena,Spezia,2-2,https://www.besoccer.com/match/modena-fc/asd-spezia/200820386,2008,3,serie_b,22,42,1,2,2,1,6,2,0,0,5,1,5.4,1,0,0,3,0,18,0,0,0,2,2,5,0.0,0,0,1,2,3,3.0,0.0,59.0,44.0
SSC Bari,Vicenza ,2-0,https://www.besoccer.com/match/as-bari/vicenza-calcio/200820387,2008,3,serie_b,22,42,0,2,0,19,0,0,0,2,2,4,0.0,0,0,1,1,2,17,1,0,1,1,1,3,1.0,0,0,1,0,2,0.0,0.0,58.0,58.0
Mantova,Messina,4-0,https://www.besoccer.com/match/ac-mantova/messina/200820388,2008,3,serie_b,22,42,0,4,0,9,4,1,1,0,2,1,3.8,0,1,0,1,1,4,4,1,1,0,2,1,3.8,0,1,0,1,1,1.0,1.0,55.0,62.0
Ascoli,Rimini,0-0,https://www.besoccer.com/match/ascoli/rimini-calcio/200820389,2008,3,serie_b,22,42,1,0,0,13,3,1,0,1,5,3,2.4000000000000004,1,0,0,4,1,8,4,1,1,0,2,1,3.8,0,1,0,0,0,3.0,1.0,60.0,56.0
Frosinone,Avellino,2-1,https://www.besoccer.com/match/frosinone-calcio/us-avellino/200820390,2008,3,serie_b,22,42,0,2,1,14,3,1,0,1,2,2,3.0,0,0,1,1,2,21,0,0,0,2,0,2,0.0,0,0,1,0,1,0.0,0.0,44.0,48.0
AlbinoLeffe,Grosseto,2-1,https://www.besoccer.com/match/uc-albinoleffe/us-grosseto/200820391,2008,3,serie_b,22,42,0,2,1,6,4,1,1,0,4,3,3.4000000000000004,1,0,0,3,2,22,0,0,0,2,0,4,0.0,0,0,1,0,3,3.0,0.0,50.0,44.0
Brescia,Piacenza,2-0,https://www.besoccer.com/match/brescia/piacenza/200820381,2008,3,serie_b,22,42,0,2,0,2,6,2,0,0,3,0,5.4,1,0,0,2,0,20,0,0,0,2,2,6,0.0,0,0,1,1,4,3.0,0.0,61.0,62.0
Vicenza ,Mantova,0-0,https://www.besoccer.com/match/vicenza-calcio/ac-mantova/200820370,2008,4,serie_b,22,42,1,0,0,18,1,0,1,2,1,5,0.8,0,1,0,1,1,3,7,2,1,0,6,1,6.0,1,0,0,1,0,1.0,3.0,57.0,55.0
Messina,Frosinone,0-0,https://www.besoccer.com/match/messina/frosinone-calcio/200820371,2008,4,serie_b,22,42,1,0,0,13,4,1,1,1,2,5,3.0000000000000004,1,0,0,1,0,8,6,2,0,1,4,3,5.4,1,0,0,1,0,3.0,3.0,62.0,44.0
Spezia,Triestina ,0-1,https://www.besoccer.com/match/asd-spezia/us-triestina-calcio/200820372,2008,4,serie_b,22,42,2,0,1,19,1,0,1,2,4,7,1.0,0,0,1,0,2,16,2,0,2,1,2,5,1.6,0,0,1,0,3,0.0,0.0,44.0,54.0
Lecce,Ascoli,0-0,https://www.besoccer.com/match/lecce/ascoli/200820373,2008,4,serie_b,22,42,1,0,0,4,7,2,1,0,4,2,5.2,1,0,0,1,0,12,4,1,1,1,5,3,2.8,0,0,1,1,2,3.0,0.0,61.0,60.0
Rimini,Treviso,2-1,https://www.besoccer.com/match/rimini-calcio/treviso/200820374,2008,4,serie_b,22,42,0,2,1,10,5,1,2,0,2,1,4.0,1,0,0,2,1,14,3,1,0,2,1,2,1.7999999999999998,0,0,1,0,1,3.0,0.0,56.0,52.0
Grosseto,Cesena,0-0,https://www.besoccer.com/match/us-grosseto/ac-cesena/200820375,2008,4,serie_b,22,42,1,0,0,22,0,0,0,3,1,6,0.0,0,0,1,0,1,17,1,0,1,2,2,4,0.6,0,0,1,0,1,0.0,0.0,44.0,53.0
Ravenna FC,AlbinoLeffe,0-2,https://www.besoccer.com/match/ravenna-calcio/uc-albinoleffe/200820376,2008,4,serie_b,22,42,2,0,2,11,4,1,1,1,4,4,3.0000000000000004,1,0,0,2,1,6,7,2,1,0,6,4,5.6,0,1,0,1,1,3.0,1.0,52.0,50.0
Chievo,Modena,0-0,https://www.besoccer.com/match/chievo/modena-fc/200820377,2008,4,serie_b,22,42,1,0,0,5,7,2,1,0,5,1,6.0,1,0,0,3,0,2,7,2,1,0,7,3,5.2,1,0,0,2,1,3.0,3.0,67.0,59.0
Pisa,Brescia,0-3,https://www.besoccer.com/match/pisa-calcio/brescia/200820378,2008,4,serie_b,22,42,2,0,3,9,6,2,0,1,4,3,4.8,0,0,1,0,1,1,9,3,0,0,5,0,7.2,1,0,0,1,0,0.0,3.0,44.0,60.0
Avellino,Bologna,1-0,https://www.besoccer.com/match/us-avellino/bologna/200820379,2008,4,serie_b,22,42,0,1,0,21,0,0,0,3,1,4,0.0,0,0,1,0,1,7,7,2,1,0,4,1,6.0,1,0,0,2,0,0.0,3.0,48.0,60.0
Piacenza,SSC Bari,1-0,https://www.besoccer.com/match/piacenza/as-bari/200820380,2008,4,serie_b,22,42,0,1,0,20,0,0,0,3,2,8,0.0,0,0,1,1,2,15,3,1,0,2,4,4,3.0,0,0,1,1,2,0.0,0.0,62.0,58.0
Cesena,Vicenza ,3-3,https://www.besoccer.com/match/ac-cesena/vicenza-calcio/200820359,2008,5,serie_b,22,42,1,3,3,19,2,0,2,2,2,4,1.4,0,1,1,2,3,20,2,0,2,2,1,5,1.6,0,0,2,0,4,0.8,0.0,53.0,57.0
Treviso,Piacenza,1-0,https://www.besoccer.com/match/treviso/piacenza/200820360,2008,5,serie_b,22,42,0,1,0,15,3,1,0,3,2,4,1.2000000000000002,1,0,1,1,1,17,3,1,0,3,3,8,3.0,0,0,2,1,6,2.4000000000000004,0.0,52.0,62.0
Brescia,Messina,3-1,https://www.besoccer.com/match/brescia/messina/200820361,2008,5,serie_b,22,42,0,3,1,1,12,4,0,0,8,0,8.4,2,0,0,4,0,11,5,1,2,1,2,5,3.1999999999999997,0,1,1,1,5,5.4,0.8,61.0,62.0
Modena,AlbinoLeffe,2-3,https://www.besoccer.com/match/modena-fc/uc-albinoleffe/200820362,2008,5,serie_b,22,42,2,2,3,7,8,2,2,0,7,3,4.8,1,1,0,5,2,2,10,3,1,0,8,4,7.200000000000001,1,1,0,3,1,3.4000000000000004,3.8,59.0,50.0
SSC Bari,Ravenna FC,4-2,https://www.besoccer.com/match/as-bari/ravenna-calcio/200820363,2008,5,serie_b,22,42,0,4,2,16,3,1,0,3,4,5,2.4000000000000004,1,0,1,3,2,14,4,1,1,2,4,6,2.1999999999999997,0,1,1,2,3,3.0,0.8,58.0,52.0
Mantova,Pisa,0-1,https://www.besoccer.com/match/ac-mantova/pisa-calcio/200820364,2008,5,serie_b,22,42,2,0,1,3,8,2,2,0,6,1,5.6,1,1,0,5,1,10,6,2,0,2,4,6,3.6000000000000005,2,0,0,4,2,3.8,5.4,55.0,44.0
Avellino,Lecce,0-2,https://www.besoccer.com/match/us-avellino/lecce/200820365,2008,5,serie_b,22,42,2,0,2,18,3,1,0,3,2,4,3.0,1,0,1,1,1,4,8,2,2,0,4,2,4.8,1,1,0,3,2,3.0,3.4000000000000004,48.0,61.0
Grosseto,Rimini,2-1,https://www.besoccer.com/match/us-grosseto/rimini-calcio/200820366,2008,5,serie_b,22,42,0,2,1,22,1,0,1,3,1,6,1.0,0,1,1,0,1,6,8,2,2,0,4,2,6.0,0,2,0,0,0,1.0,1.8,44.0,56.0
Ascoli,Spezia,1-0,https://www.besoccer.com/match/ascoli/asd-spezia/200820367,2008,5,serie_b,22,42,0,1,0,13,5,1,2,1,5,3,3.0,1,1,0,4,1,21,1,0,1,3,4,8,0.8,0,1,1,4,5,3.4000000000000004,1.0,60.0,44.0
Frosinone,Chievo,1-2,https://www.besoccer.com/match/frosinone-calcio/chievo/200820368,2008,5,serie_b,22,42,2,1,2,9,7,2,1,1,4,3,5.2,1,0,1,3,3,5,8,2,2,0,5,1,5.6,1,1,0,2,1,3.0,3.8,44.0,67.0
Triestina ,Bologna,1-3,https://www.besoccer.com/match/us-triestina-calcio/bologna/200820369,2008,5,serie_b,22,42,2,1,3,12,5,1,2,1,3,5,4.2,0,2,0,2,2,8,7,2,1,1,4,2,4.6,1,0,1,2,1,1.8,2.4000000000000004,54.0,60.0
Messina,Treviso,2-0,https://www.besoccer.com/match/messina/treviso/200820348,2008,6,serie_b,22,42,0,2,0,15,5,1,2,2,3,8,2.2,1,1,0,1,0,12,6,2,0,3,3,4,3.6,0,0,2,1,3,3.4000000000000004,0.0,61.0,52.0
Spezia,Frosinone,3-0,https://www.besoccer.com/match/asd-spezia/frosinone-calcio/200820349,2008,6,serie_b,22,42,0,3,0,22,1,0,1,4,4,9,0.6,0,0,2,0,3,11,7,2,1,2,5,5,3.8,1,1,0,1,0,0.0,3.4000000000000004,44.0,44.0
Chievo,Avellino,3-0,https://www.besoccer.com/match/chievo/us-avellino/200820350,2008,6,serie_b,22,42,0,3,0,4,11,3,2,0,7,2,7.0,1,1,0,3,0,19,3,1,0,4,2,6,2.4000000000000004,0,0,2,1,3,3.4000000000000004,0.0,67.0,48.0
Rimini,Modena,1-0,https://www.besoccer.com/match/rimini-calcio/modena-fc/200820351,2008,6,serie_b,22,42,0,1,0,8,8,2,2,1,5,4,4.4,2,0,0,4,2,9,8,2,2,1,9,6,3.2,1,1,0,2,1,5.4,3.4000000000000004,56.0,59.0
Bologna,Brescia,2-2,https://www.besoccer.com/match/bologna/brescia/200820352,2008,6,serie_b,22,42,1,2,2,5,10,3,1,1,7,3,6.2,1,1,0,2,1,1,15,5,0,0,11,1,9.0,2,0,0,4,0,3.8,5.4,60.0,61.0
Ravenna FC,Grosseto,2-1,https://www.besoccer.com/match/ravenna-calcio/us-grosseto/200820353,2008,6,serie_b,22,42,0,2,1,16,4,1,1,3,6,10,1.4000000000000001,1,0,1,2,3,17,4,1,1,3,3,7,3.8,0,0,2,1,5,2.4000000000000004,0.0,51.0,44.0
SSC Bari,Mantova,2-0,https://www.besoccer.com/match/as-bari/ac-mantova/200820354,2008,6,serie_b,22,42,0,2,0,13,6,2,0,3,8,7,4.8,2,0,1,7,4,7,8,2,2,1,6,2,4.0,1,1,0,1,0,5.4,3.4000000000000004,58.0,55.0
Pisa,Triestina ,2-1,https://www.besoccer.com/match/pisa-calcio/us-triestina-calcio/200820355,2008,6,serie_b,22,42,0,2,1,6,9,3,0,2,5,6,5.4,0,0,2,0,4,14,5,1,2,2,4,8,3.2,1,0,1,1,3,0.0,3.0,44.0,54.0
