Season,Round,home_EOL,away_EOL,home_result
2021,1,65,60,1
2021,1,52,59,1
2021,1,41,48,-1
2021,1,63,57,1
2021,1,47,50,-1
2021,1,58,45,1
2021,1,60,60,-1
2021,1,61,54,-1
2021,1,57,61,-1
2021,1,55,65,0
2021,1,60,68,-1
2021,1,55,60,1
2021,2,45,55,1
2021,2,60,60,-1
2021,2,57,41,1
2021,2,59,57,1
2021,2,50,61,1
2021,2,60,63,0
2021,2,61,60,0
2021,2,54,47,1
2021,2,48,55,-1
2021,2,60,65,0
2021,2,68,52,0
2021,2,65,58,-1
2021,3,57,60,1
2021,3,65,50,1
2021,3,41,68,-1
2021,3,47,46,0
2021,3,52,48,0
2021,3,60,54,-1
2021,3,61,57,-1
2021,3,55,59,0
2021,3,60,65,-1
2021,3,55,60,0
2021,3,58,60,1
2021,3,62,61,1
2021,4,46,62,-1
2021,4,62,60,-1
2021,4,58,60,0
2021,4,51,41,1
2021,4,61,46,1
2021,4,60,57,-1
2021,4,54,64,1
2021,4,47,57,0
2021,4,60,54,0
2021,4,68,55,1
2021,4,59,60,-1
2021,4,65,52,0
2021,5,60,64,-1
2021,5,63,54,0
2021,5,48,58,0
2021,5,52,60,-1
2021,5,58,60,-1
2021,5,59,47,1
2021,5,52,66,-1
2021,5,60,54,0
2021,5,48,61,-1
2021,5,67,56,-1
2021,5,41,55,-1
2021,5,60,59,-1
2021,6,58,61,-1
2021,6,47,67,0
2021,6,55,52,1
2021,6,61,52,1
2021,6,59,47,0
2021,6,56,59,1
2021,6,54,40,1
2021,6,60,63,0
2021,6,54,60,-1
2021,6,60,59,-1
2021,6,64,58,1
2021,6,66,47,0
2021,7,59,59,0
2021,7,64,63,0
2021,7,58,67,0
2021,7,60,61,0
2021,7,47,58,-1
2021,7,56,60,-1
2021,7,55,47,0
2021,7,61,40,1
2021,7,54,52,0
2021,7,54,47,1
2021,7,60,52,-1
2021,7,66,59,1
2021,8,47,54,1
2021,8,58,55,-1
2021,8,59,61,0
2021,8,60,47,1
2021,8,67,66,1
2021,8,40,64,0
2021,8,60,55,-1
2021,8,63,58,1
2021,8,52,56,1
2021,8,59,59,0
2021,8,52,59,0
2021,8,47,60,1
2021,9,47,55,1
2021,9,58,61,-1
2021,9,63,59,0
